title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
University of Nottingham ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500100/1,2011-10-01,2020-09-30,7190820,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Claire,,O'Malley,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500100%2F1
South West ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J50015X/1,2011-10-01,2020-09-30,15744100,University of Bristol,Research and Enterprise Development,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Judith,,Squires,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ50015X%2F1
"Doctoral Training Centre in Hydrogen, Fuel Cells and their Applications",EPSRC,EP/G037116/1,2009-10-01,2018-03-31,5542950,University of Birmingham,Chemical Engineering,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Kevin,,Kendall,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037116%2F1
A Holistic Doctoral Training Centre for Chemical Synthesis,EPSRC,EP/G036764/1,2009-10-01,2018-03-31,8086500,University of Bristol,Chemistry,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Kevin,Iain,Booker-Milburn,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036764%2F1
South East ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500148/1,2011-10-01,2020-09-30,9519310,University of Surrey,Psychology,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Chris,,Fife-Schaw,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500148%2F1
University of Warwick ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500203/1,2011-10-03,2020-09-30,10904000,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Michael,,Saward,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500203%2F1
University of Essex ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500045/1,2011-10-01,2020-09-30,6977360,University of Essex,Sociology,"Wivenhoe Park, Colchester, Essex, CO4 3SQ, East of England, United Kingdom",CO4 3SQ,East of England,Pamela,,Cox,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500045%2F1
University of Cambridge ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500033/1,2011-10-01,2020-09-30,9930060,University of Cambridge,Board of Graduate Studies,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Loraine,Ruth,Gelsthorpe,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500033%2F1
University of Oxford ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500112/1,2011-10-01,2020-09-30,17188400,University of Oxford,Social Sciences Division,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Roger,J,Goodman,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500112%2F1
University College London ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500185/1,2011-10-01,2020-09-30,13213000,University College London,Economics,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Stephen,Malcolm,Hart,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500185%2F1
North East ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500082/1,2011-10-01,2020-09-30,10222400,Durham University,Archaeology,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Ian,,Greener,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500082%2F1
University of Birmingham ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J50001X/1,2011-10-01,2020-09-30,5503660,University of Birmingham,The Registrar,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Hilary,,Watson,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ50001X%2F1
London School of Economics ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500070/1,2011-10-01,2020-09-30,15316400,London School of Economics & Pol Sci,Research & Project Development Division,"Houghton Street, Aldwych, London, WC2A 2AE, London, United Kingdom",WC2A 2AE,London,Janet,Margaret,Hartley,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500070%2F1
White Rose ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500215/1,2011-10-01,2020-09-30,18443900,University of Sheffield,Geography,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Martin John,,Smith,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500215%2F1
Kings College London ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500057/1,2011-10-01,2020-09-30,6344210,King's College London,SSPP School Office,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Jennie,,Eldridge,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500057%2F1
University of Sussex ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500173/1,2011-10-01,2020-09-30,4357090,University of Sussex,Research and Enterprise Services,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Alan,,Garnham,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500173%2F1
Bloomsbury Colleges ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500021/1,2011-10-01,2020-09-30,11269900,University College London,Doctoral School,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Andrew,,Tolmie,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500021%2F1
Centre for Doctoral Training in Basic Technologies for Molecular-Scale Engineering,EPSRC,EP/J500124/1,2011-10-01,2018-09-30,1999640,University of Leeds,Electronic and Electrical Engineering,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Jamie,,Hobbs,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ500124%2F1
EPSRC Centre for Doctoral Training in Sustainable Materials and Manufacturing (EngD),EPSRC,EP/L016389/1,2014-05-01,2022-10-31,3358440,University of Warwick,WMG,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Kerry,Emmett Arthur,Kirwan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016389%2F1
EPSRC Centre for Doctoral Training in Energy Storage and its Applications,EPSRC,EP/L016818/1,2014-04-01,2022-09-30,4078780,University of Sheffield,Chemical & Biological Engineering,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Peter,Joseph,Hall,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016818%2F1
EPSRC Centre for Doctoral Training in Geometry and Number Theory at the Interface,EPSRC,EP/L015234/1,2014-04-01,2022-09-30,4696650,University College London,Mathematics,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Michael,,Singer,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015234%2F1
EPSRC Centre for Doctoral Training in Cross-Disciplinary Approaches to Non-Equilibrium Systems,EPSRC,EP/L015854/1,2014-05-01,2022-10-31,3868980,King's College London,Mathematics,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Peter,,Sollich,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015854%2F1
EPSRC Centre for Doctoral Training in Engineering for the Water Sector (STREAM IDC),EPSRC,EP/L015412/1,2014-04-01,2022-09-30,3678060,Cranfield University,"School of Water, Energy and Environment","Cranfield, Bedford, Bedfordshire, MK43 0AL, East of England, United Kingdom",MK43 0AL,East of England,Paul,,Jeffrey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015412%2F1
EPSRC Centre for Doctoral Training in Future Power Networks and Smart Grids,EPSRC,EP/L015471/1,2014-04-01,2022-09-30,4404160,University of Strathclyde,Electronic and Electrical Engineering,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Stephen,,McArthur,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015471%2F1
EPSRC Centre for Doctoral Training in Advanced Metallic Systems - Challenges in Future Metals Manufacturing,EPSRC,EP/L016273/1,2014-04-01,2022-09-30,3485040,University of Sheffield,Materials Science and Engineering,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Bradley,Peter,Wynne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016273%2F1
EPSRC Centre for Doctoral Training in Micro- and NanoMaterials and Technologies,EPSRC,EP/L016788/1,2014-04-01,2022-09-30,3193850,University of Surrey,Mechanical Engineering Sciences,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Robert,Andrew,Dorey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016788%2F1
EPSRC and MRC Centre for Doctoral Training in Systems Approaches to Biomedical Science,EPSRC,EP/L016044/1,2014-10-06,2023-04-05,3552380,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Charlotte,,Deane,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016044%2F1
From Targeted Therapeutics to Next-Generation Medicines,EPSRC,EP/I01375X/1,2011-10-01,2017-09-30,1330810,University of Nottingham,Sch of Pharmacy,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Cameron,,Alexander,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FI01375X%2F1
DTP 2016-2017 University of Edinburgh,EPSRC,EP/N509644/1,2016-10-01,2021-09-30,5843460,University of Edinburgh,College of Science and Engineering,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Julia,Miller,Ferguson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509644%2F1
DTC ENERGY: Technologies for a low carbon future,EPSRC,EP/G036608/1,2009-10-01,2018-03-31,6550560,University of Leeds,Chemical and Process Engineering,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Paul,,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036608%2F1
DTP 2016-2017 Loughborough University,EPSRC,EP/N509516/1,2016-10-01,2021-09-30,3779370,Loughborough University,Research Student Office,"Loughborough University, Loughborough, Leicestershire, LE11 3TU, East Midlands, United Kingdom",LE11 3TU,East Midlands,Brigette,,Vale,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509516%2F1
DTP 2016-2017 Durham University,EPSRC,EP/N509462/1,2016-10-01,2021-09-30,1613600,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509462%2F1
DTP 2016-2017 Imperal College,EPSRC,EP/N509486/1,2016-10-01,2021-09-30,18685600,Imperial College London,Research Office,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Malcolm,,Aldridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509486%2F1
EPSRC CDT in Medical Devices &amp; Health Technologies,EPSRC,EP/L015595/1,2014-04-01,2022-09-30,4097770,University of Strathclyde,Biomedical Engineering,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Patricia,,Connolly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015595%2F1
"Nuclear Fission Research, Science and Technology DTC (Nuclear FiRST)- Underpinning UK Energy and Defence Strategies",EPSRC,EP/G037140/1,2009-10-01,2018-03-31,7071240,University of Manchester,Chemistry,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Francis,,Livens,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037140%2F1
DTP 2016-2017 University of Bristol,EPSRC,EP/N509619/1,2016-10-01,2021-09-30,8601990,University of Bristol,Senior Faculty Accountant,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Jane,,FitzWalter,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509619%2F1
DTP 2016-2017 University of Oxford,EPSRC,EP/N509711/1,2016-10-01,2021-09-30,13509900,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Martin,,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509711%2F1
DTP 2016-2017 University of Brighton,EPSRC,EP/N509607/1,2016-10-01,2021-09-30,508694,University of Brighton,Senior Management Team,"Cockcroft Building M24, Lewes Road, Brighton, East Sussex, BN2 2GJ, South East, United Kingdom",BN2 2GJ,South East,Neil,,Ravenscroft,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509607%2F1
DTP 2016-2017 University College London,EPSRC,EP/N509577/1,2016-10-01,2021-09-30,13171600,University College London,Research Services,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Ian David Lockhart,,Bogle,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509577%2F1
LSI DTCs 2007: Physical sciences of imaging in the biomedical sciences (PSIBS),EPSRC,EP/F50053X/1,2008-10-01,2018-03-31,7181440,University of Birmingham,School of Chemistry,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Michael,John,Hannon,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF50053X%2F1
DTP 2016-2017 University of York,EPSRC,EP/N509802/1,2016-10-01,2021-09-30,4067670,University of York,Physics,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Brian,,Fulton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509802%2F1
DTP 2016-2017 King's College London,EPSRC,EP/N509498/1,2016-10-01,2021-09-30,1994760,King's College London,King's College London Central Offices,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Jennie,,Eldridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509498%2F1
"Future Communications: People, Power and Performanace",EPSRC,EP/I028153/1,2011-04-01,2019-09-30,2207650,University of Bristol,Electrical and Electronic Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,David,,Bull,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FI028153%2F1
Analysis: from theory to applications,EPSRC,EP/H023348/1,2010-10-01,2017-09-30,3965030,University of Cambridge,Pure Maths and Mathematical Statistics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,James,,Norris,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH023348%2F1
Securing the Future: Photonic Systems Development,EPSRC,EP/G037256/1,2009-10-01,2018-03-31,7190020,University College London,Electronic and Electrical Engineering,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Alwyn,,Seeds,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037256%2F1
Training &amp; Skills Hub in Quantum Systems Engineering: The Quantum Enterprise Hub,EPSRC,EP/P510269/1,2016-04-01,2021-03-31,4411280,University of Bristol,Physics,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Mark,Gerard,Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510269%2F1
Scottish DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P50063X/1,2016-01-01,2016-09-30,500000,University of Edinburgh,Sch of Social and Political Science,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Graham,Paul,Crow,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP50063X%2F1
Oxford DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500641/1,2016-10-01,2017-09-30,500000,University of Oxford,Education,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,David,,Mills,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500641%2F1
Controlled Quantum Dynamics - The CQD-DTC,EPSRC,EP/G037043/1,2009-10-01,2018-03-31,6719950,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Myungshik,,Kim,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037043%2F1
Ubiquitous Computing for a Digital Economy,EPSRC,EP/G037574/1,2009-10-01,2018-03-31,5703940,University of Nottingham,School of Computer Science,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Steve,,Benford,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037574%2F1
DTP - University of Exeter,EPSRC,EP/M508044/1,2015-10-01,2019-09-30,980980,University of Exeter,Research Grant Administration,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Paula,Tracey,Frost,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508044%2F1
STFC Glasgow 2015 DTP,STFC,ST/N504075/1,2015-10-01,2020-09-30,1462130,University of Glasgow,School of Physics and Astronomy,"University Avenue, Glasgow, G12 8QQ, Scotland, United Kingdom",G12 8QQ,Scotland,Martin,,Hendry,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504075%2F1
STFC Keele 2015 DTP,STFC,ST/N504348/1,2015-10-01,2020-09-30,216765,Keele University,Faculty of Natural Sciences,"Keele, Newcastle, Staffordshire, ST5 5BG, West Midlands, United Kingdom",ST5 5BG,West Midlands,Coel,,Hellier,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504348%2F1
DTP - University of Surrey,EPSRC,EP/M508160/1,2015-10-01,2019-09-30,1177740,University of Surrey,Finance and Financial Management,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Richard,,Bowden,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508160%2F1
STFC Newcastle 2015 DTP,STFC,ST/N504191/1,2015-10-01,2020-09-30,144510,Newcastle University,Mathematics and Statistics,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Robin,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504191%2F1
STFC Strathclyde 2015 DTP,STFC,ST/N504439/1,2015-10-01,2023-09-30,144510,University of Strathclyde,Physics,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Erling,,Riis,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504439%2F1
STFC Armagh 2015 DTP,STFC,ST/N503927/1,2015-10-19,2020-10-18,144510,Armagh Observatory,Astronomy,"College Hill, Armagh, County Armagh, BT61 9DG, Northern Ireland, United Kingdom",BT61 9DG,Northern Ireland,Mark Edward,,Bailey,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503927%2F1
STFC Lancaster 2015 DTP,STFC,ST/N504385/1,2015-10-01,2020-09-30,347880,Lancaster University,Physics,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Roger,William,Jones,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504385%2F1
DTP - University of Sussex,EPSRC,EP/M508172/1,2015-10-01,2019-09-30,415241,University of Sussex,Research Finance,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Linda,,Allfrey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508172%2F1
STFC UCLan 2015 DTP,STFC,ST/N504014/1,2015-10-01,2020-09-30,361275,University of Central Lancashire,Jeremiah Horrocks Institute,"Preston, Lancashire, PR1 2HE, North West, United Kingdom",PR1 2HE,North West,Derek,,Ward-Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504014%2F1
STFC Open 2015 DTP,STFC,ST/N50421X/1,2015-10-01,2020-09-30,794805,Open University,Physical Sciences,"Walton Hall, Walton, Milton Keynes, Buckinghamshire, MK7 6AA, South East, United Kingdom",MK7 6AA,South East,Monica,Mary,Grady,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50421X%2F1
DTP - University of Leeds,EPSRC,EP/M50807X/1,2015-10-01,2019-09-30,2523770,University of Leeds,Research Student Administration,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50807X%2F1
DTP - University of Reading,EPSRC,EP/M508123/1,2015-10-01,2019-09-30,661457,University of Reading,Finance Office,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Jonathan,David,Lloyd,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508123%2F1
DTP - University of Birmingham,EPSRC,EP/M508202/1,2015-10-01,2019-09-30,1991680,University of Birmingham,Personnel Services,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Tara,,Wittin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508202%2F1
DTP - University of Bristol,EPSRC,EP/M507994/1,2015-10-01,2019-09-30,3833650,University of Bristol,Senior Faculty Accountant,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Jane,,FitzWalter,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507994%2F1
DTP - University of Southampton,EPSRC,EP/M508147/1,2015-10-01,2019-09-30,5427140,University of Southampton,Research and Innovation Services,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Philip,,Jewell,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508147%2F1
DTP - University of Liverpool,EPSRC,EP/M508093/1,2015-10-01,2019-09-30,1776640,University of Liverpool,Graduate School,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Debbie,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508093%2F1
DTP - University College London,EPSRC,EP/M507970/1,2015-10-01,2019-09-30,7149810,University College London,Research Services,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Ian David Lockhart,,Bogle,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507970%2F1
DTP - University of York,EPSRC,EP/M508196/1,2015-10-01,2019-09-30,1387550,University of York,Physics,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Brian,,Fulton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508196%2F1
STFC Kent 2015 DTP,STFC,ST/N50435X/1,2015-10-01,2020-09-30,72255,University of Kent,Sch of Physical Sciences,"The Registry, Canterbury, Kent, CT2 7NZ, South East, United Kingdom",CT2 7NZ,South East,Mark,,Green,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50435X%2F1
DTP - Lancaster University,EPSRC,EP/M507891/1,2015-10-01,2019-09-30,982367,Lancaster University,Computing & Communications,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Chris,,Edwards,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507891%2F1
DTP - King's College London,EPSRC,EP/M50788X/1,2015-10-01,2019-09-30,921850,King's College London,King's College London Central Offices,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Jennie,,Eldridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50788X%2F1
STFC Leicester 2015 DTP,STFC,ST/N504117/1,2015-10-01,2020-09-30,1372840,University of Leicester,Physics and Astronomy,"University Road, Leicester, Leicestershire, LE1 7RH, East Midlands, United Kingdom",LE1 7RH,East Midlands,Paul,Thomas,O'Brien,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504117%2F1
DTP - Loughborough University,EPSRC,EP/M507908/1,2015-10-01,2019-09-30,916227,Loughborough University,Research Student Office,"Loughborough University, Loughborough, Leicestershire, LE11 3TU, East Midlands, United Kingdom",LE11 3TU,East Midlands,Brigette,,Vale,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507908%2F1
DTP - Cardiff University,EPSRC,EP/M507842/1,2015-10-01,2019-09-30,1151710,Cardiff University,Registry,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Rhian,Wyn,Phillips,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507842%2F1
DTP - University of Edinburgh,EPSRC,EP/M508032/1,2015-10-01,2019-09-30,3235920,University of Edinburgh,College of Science and Engineering,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Julia,Miller,Ferguson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508032%2F1
DTP - Imperial College London,EPSRC,EP/M507878/1,2015-10-01,2019-09-30,8355170,Imperial College London,Research Office,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Malcolm,,Aldridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507878%2F1
DTP - University of Nottingham,EPSRC,EP/M50810X/1,2015-10-01,2019-09-30,2176740,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Richard,,Masterman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50810X%2F1
STFC Exeter 2015 DTP,STFC,ST/N504063/1,2015-10-01,2020-09-30,361275,University of Exeter,Physics,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,William,Leslie,Barnes,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504063%2F1
STFC QMUL 2015 DTP,STFC,ST/N504257/1,2015-10-01,2020-09-30,1060730,"Queen Mary, University of London",Physics,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Stephen,,Lloyd,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504257%2F1
STFC Bristol 2015 DTP,STFC,ST/N503952/1,2015-10-01,2020-09-30,472772,University of Bristol,Physics,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,James,,Annett,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503952%2F1
