title,funder,type,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_project_reference,gtr_url
The Role of Mcl1 in the Co ordinated Regulation of Apoptosis and Autophagy,BBSRC,DTP,2014-10-01,2018-09-30,94126,MRC Toxicology Unit,MRC Toxicology Unit,"Hodgkin Building, University of Leicester, PO Box 138,  Lancaster Road, Leicester, LE1 9HN, East Midlands, United Kingdom",LE1 9HN,East Midlands,Marion,,MacFarlane,BB/M502819/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM502819%2F1
DTA - University of Nottingham,EPSRC,DTP,2012-10-01,2016-09-30,3283100,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Richard,,Masterman,EP/K503101/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK503101%2F1
Utilising the CHO cell transcriptional network for next generation gene expression technology,BBSRC,DTP,2015-01-01,2018-12-31,94126,Babraham Institute,Nuclear Dynamics,"Babraham Research Campus, Cambridge, Cambridgeshire, CB22 3AT, East of England, United Kingdom",CB22 3AT,East of England,Peter,,Fraser,BB/M503241/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503241%2F1
Responses of the Phytophthora infestans metabolome and transcriptome to mock infection and chemical inhibition,BBSRC,DTP,2013-03-25,2017-03-24,92173,The James Hutton Institute,Cell & Molecular Sciences,"The James Hutton Institute, Invergowrie, DD2 5DA, Unknown, United Kingdom",DD2 5DA,Unknown,Stephen,,Whisson,BB/K501967/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK501967%2F1
Industrial CASE Account - University of Oxford 2016,EPSRC,DTP,2016-10-01,2021-09-30,651440,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Martin,,Williams,EP/P510609/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510609%2F1
Industrial CASE Account - Brunel University London 2016,EPSRC,DTP,2016-10-01,2021-09-30,162860,Brunel University,Research Support and Development Office,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Adam,,Bell,EP/P510439/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510439%2F1
Industrial CASE Account - Brunel University 2012,EPSRC,DTP,2012-10-01,2017-09-30,134886,Brunel University,Research Support and Development Office,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Adam,,Bell,EP/K504270/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK504270%2F1
Insecticide resistance management by release of engineered male insects,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Oxford,Zoology,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Michael,Booth,Bonsall,BB/K011936/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011936%2F1
Target discovery and screening of novel industrial biocatalysts using metagenomic sequencing of multiple ruminant microbiomes,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Edinburgh,The Roslin Institute,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Michael,Bryan,Watson,BB/L016389/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016389%2F1
Regulation of genome structure and function by the transcription factor BACH2,BBSRC,DTP,2015-10-01,2019-09-30,95042,Babraham Institute,Lymphocyte Signalling and Development,"Babraham Research Campus, Cambridge, Cambridgeshire, CB22 3AT, East of England, United Kingdom",CB22 3AT,East of England,Rahul,,Roychoudhuri,BB/N503642/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN503642%2F1
Development of jacalin as a target delivery platform to study ligand interactions in the lung.,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of East Anglia,Pharmacy,"Earlham Road, Norwich, Norfolk, NR4 7TJ, East of England, United Kingdom",NR4 7TJ,East of England,Mark,,Searcey,BB/L017261/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL017261%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,1445720,Durham University,Physics,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Martin,,Ward,ST/K501979/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK501979%2F1
Analytical Data Analysis for the Bioprocessing Industry,BBSRC,DTP,2015-10-01,2018-09-30,24000,University College London,Biochemical Engineering,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Daniel,Gilbert,Bracewell,BB/N003950/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN003950%2F1
Defining predicting and delivering fresh in the context of leafy salads,BBSRC,DTP,2016-10-01,2020-09-30,96696,University of Reading,Food and Nutritional Sciences,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Carol,,Wagstaff,BB/P50497X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP50497X%2F1
The distribution of mephedrone and its detection in alternative biological matrices,BBSRC,DTP,2015-10-01,2019-09-30,103042,King's College London,BHS School Management,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Mark,Christian,Parkin,BB/M014940/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM014940%2F1
Swansea-2012-DTG-Funding 2 Studentships,NERC,DTP,2013-01-01,2016-09-30,143592,Swansea University,College of Science,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Adrian,John,Luckman,NE/K501177/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK501177%2F1
Black holes and the quenching of star formation,STFC,DTP,2015-01-01,2018-12-31,71101,University of Nottingham,Sch of Physics & Astronomy,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Omar,,Almaini,ST/M503903/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503903%2F1
Edinburgh-2012-DTG-Funding 14 Studentships,NERC,DTP,2012-10-01,2016-09-30,1006040,University of Edinburgh,Sch of Biological Sciences,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,David,,Williams,NE/K500835/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK500835%2F1
Development of high density CHO cell culture manufacturing systems,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Manchester,Chem Eng and Analytical Science,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Alan,,Dickson,BB/K020978/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK020978%2F1
DTA - University of Bath,EPSRC,DTP,2012-10-01,2016-09-30,1471960,University of Bath,Research Support,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Lisa,,Isted,EP/K502972/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK502972%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,381082,University of Surrey,Sch of Electronics & Physical Sciences,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Paul,Jonathan,Sellin,ST/K502352/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK502352%2F1
Elucidating the differential and complementary roles of P13K insoforms P110 and p110 in lymphocytes,BBSRC,DTP,2014-10-01,2018-09-30,94126,Babraham Institute,Lymphocyte Signalling and Development,"Babraham Research Campus, Cambridge, Cambridgeshire, CB22 3AT, East of England, United Kingdom",CB22 3AT,East of England,Klaus,,Okkenhaug,BB/M503332/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503332%2F1
Photosensitizer functionalised electrospun nanofibres for photoremediation of microbial and chemical water contaminants,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Leeds,Institute of Membrane & Systems Biology,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Paul Anthony,,Millner,BB/K012924/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012924%2F1
DTA - University of Warwick,EPSRC,DTP,2013-10-01,2017-09-30,3519340,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Jocasta,,Gardner,EP/L505110/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505110%2F1
BB/J014508/1,BBSRC,DTP,2012-10-01,2018-09-30,5380670,University of Nottingham,Sch of Biosciences,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Jeremy,,Roberts,BB/J014508/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FJ014508%2F1
Identification of Potent and Selective Inhibitors of Trypanosomal Alternative Oxidase,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Sussex,Sch of Life Sciences,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Simon,,Ward,BB/L017180/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL017180%2F1
Next Generation Sequencing into practice Identifying functionally important aberrations in NF1 Neurofibromin 1,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Sheffield,Clinical Oncology,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Sarah,,Danson,BB/M503484/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503484%2F1
Nottingham - ESRC CASE Transition DTG,ESRC,DTP,2011-04-01,2017-06-30,623773,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Claire,,Palmer,ES/I903747/1,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FI903747%2F1
Training Grant Lancaster,STFC,DTP,2014-10-01,2018-09-30,341720,Lancaster University,Physics,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Peter,,Ratoff,ST/M503575/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503575%2F1
DTA - University of Bath,EPSRC,DTP,2014-10-01,2018-09-30,2001230,University of Bath,Research Support,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Karen,,Toogood,EP/M50645X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50645X%2F1
BBSRC Strategic LoLa Studentship Learning from marine wood borers enzymes and mechanisms of lignocellulose digestion,BBSRC,DTP,2014-10-01,2018-09-30,379704,University of York,Biology,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Simon,,McQueen-Mason,BB/M502881/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM502881%2F1
The development of SERS-based protein-protein interaction assays to evaluate bioactivity of Antibody-conjugates in cell signalling,BBSRC,DTP,2013-09-01,2017-08-31,93520,University of Edinburgh,Sch of Molecular. Genetics & Pop Health,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Ted,,Hupp,BB/K011278/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011278%2F1
Developing novel pharmacological probes to understand the function of inositol monophosphatase,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of Sussex,Sch of Life Sciences,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,John,Richard,Atack,BB/M017265/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM017265%2F1
The role of Rhynchosporium commune effectors in activating barley resistance,BBSRC,DTP,2013-01-28,2017-01-27,92173,The James Hutton Institute,Cell & Molecular Sciences,"The James Hutton Institute, Invergowrie, DD2 5DA, Unknown, United Kingdom",DD2 5DA,Unknown,Anna,,Avrova,BB/K501906/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK501906%2F1
Benefits and Effects of Nanoparticle-assisted Microwave Imaging,BBSRC,DTP,2014-10-01,2018-09-30,102126,King's College London,Pharmaceutical Sciences,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Maya,,Thanou,BB/L014041/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL014041%2F1
UCL-2011-DTG-Funding 8 Studentships,NERC,DTP,2011-10-01,2016-09-30,628928,University College London,Genetics Evolution and Environment,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Kevin,,Fowler,NE/J500136/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FJ500136%2F1
Unravelling the contribution of the cereal bacterial microbiota to rhizosheath formation and functioning.,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of Dundee,School of Life Sciences,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Davide,,Bulgarelli,BB/M016811/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM016811%2F1
The molecular and biochemical characterisation of a Capsicum derived phytoene synthase-1 underlying an important fruit colour QTL.,BBSRC,DTP,2013-10-01,2017-09-30,101520,"Royal Holloway, University of London",Biological Sciences,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Paul,David,Fraser,BB/K01210X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK01210X%2F1
DTA - King's College London,EPSRC,DTP,2014-10-01,2018-09-30,923874,King's College London,King's College London Central Offices,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Nicola,,Sainsbury,EP/M506357/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM506357%2F1
Enzyme Responsive Hydrogels for Diagnostics Delivery and Regenerative Medicine,STFC,DTP,2013-10-01,2017-09-30,38652,University of Reading,Chemistry,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Ian,William,Hamley,ST/L502480/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FL502480%2F1
New insights into mitochondrial quality control in astrocytes and neurons,BBSRC,DTP,2016-10-01,2020-09-30,104696,University College London,Neuroscience Physiology and Pharmacology,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Josef,Thomas,Kittler,BB/P504865/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504865%2F1
Industrial CASE Account - University of Exeter 2016,EPSRC,DTP,2016-10-01,2021-09-30,81430,University of Exeter,Administration,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Laura,,Ottery,EP/P51049X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP51049X%2F1
University of Warwick ESRC Doctoral Training Centre DTG 2011,ESRC,DTP,2011-10-03,2020-09-30,10904000,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Michael,,Saward,ES/J500203/1,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500203%2F1
DTA - University of Leeds,EPSRC,DTP,2012-10-01,2016-09-30,2842470,University of Leeds,Research Student Administration,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,EP/K503071/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK503071%2F1
Metabolic analysis of the solventogenic bacterium Clostridium saccharoperbutylacetonium.,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Surrey,Microbial & Cellular Sciences,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Claudio Adolfo,,Avignone-Rossa,BB/K012231/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012231%2F1
Development of a synthetic recognition platform with high sensitivity and specificity for glycoproteins,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Birmingham,Chemical Engineering,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Paula,,Mendes,BB/K011626/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011626%2F1
Investigation of lysosome function using novel approaches,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Cambridge,Cambridge Institute for Medical Research,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,J. Paul,,Luzio,BB/M503022/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503022%2F1
Bacterial microcompartments therapeutic antibody production and payload delivery,BBSRC,DTP,2014-10-01,2018-09-30,102126,"Queen Mary, University of London",Sch of Biological and Chemical Sciences,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Richard,William,Pickersgill,BB/M503149/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503149%2F1
Production and application of dihaploids for oat breeding,BBSRC,DTP,2013-10-01,2017-12-31,93520,Aberystwyth University,IBERS,"Old College, King Street, Ceredigion, Aberystwyth, Dyfed, SY23 2AX, Wales, United Kingdom",SY23 2AX,Wales,Tim,,Langdon,BB/K012991/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012991%2F1
ENVISION: Developing next generation leaders in environmental science,NERC,DTP,2014-09-01,2020-10-31,3327380,Lancaster University,Lancaster Environment Centre,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Nicholas,John,Ostle,NE/L002604/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002604%2F1
Industrial CASE Account - University of Cambridge 2013,EPSRC,DTP,2013-10-01,2018-09-30,1716200,University of Cambridge,Board of Graduate Studies,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Sally-Ann,,Gannon,EP/L505389/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505389%2F1
The Role of mTOR in Tissue Fibrosis,BBSRC,DTP,2013-10-01,2017-09-30,101520,University College London,Medicine,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Rachel,Clare,Chambers,BB/L502133/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502133%2F1
Enhanced content bio imaging tools realising the potential for high throughput zebrafish bioassays,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Exeter,Biosciences,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Charles,,Tyler,BB/M503344/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503344%2F1
Industrial CASE Account - University of Kent 2012,EPSRC,DTP,2012-10-01,2017-09-30,67443,University of Kent,Sch of Physical Sciences,"The Registry, Canterbury, Kent, CT2 7NZ, South East, United Kingdom",CT2 7NZ,South East,Linnea,Maria,Alfredsson,EP/K504415/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK504415%2F1
Optical Interaction with Conformer Selected Ions,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Manchester,Chemistry,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Perdita,Elizabeth,Barran,BB/L016486/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016486%2F1
Industrial CASE Account - University of Warwick 2016,EPSRC,DTP,2016-10-01,2021-09-30,895730,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Stuart,,Barnes,EP/P510695/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510695%2F1
Exploration of chromatin remodeling processes in human hair growth cycle impact of chronological ageing on chromatin remodeling in hair regeneration,BBSRC,DTP,2014-12-15,2018-12-14,94126,University of Bradford,Sch of Life Sciences,"Richmond Road, Bradford, West Yorkshire, BD7 1DP, Yorkshire and The Humber, United Kingdom",BD7 1DP,Yorkshire and The Humber,Michael Yuri,,Fessing,BB/M50273X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM50273X%2F1
Industrial CASE Account - Royal Veterinary College 2013,EPSRC,DTP,2013-10-01,2018-09-30,68648,Royal Veterinary College,Comparative Biomedical Sciences CBS,"Royal College Street, Camden Town, London, NW1 0TU, London, United Kingdom",NW1 0TU,London,Richard,James,Bomphrey,EP/L505638/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505638%2F1
Skeletal muscle and adipose cross talk Identifying novel mediators of insulin sensitivity,BBSRC,DTP,2015-11-01,2019-10-31,95042,University of Birmingham,Immunity and Infection,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Simon Wyn,,Jones,BB/N504002/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN504002%2F1
Industrial CASE Account - Royal Holloway University of London 2014,EPSRC,DTP,2014-10-01,2019-09-30,139048,"Royal Holloway, University of London",The Academic Registrar,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Barbara,,Davis,EP/M507544/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507544%2F1
Establishing an off host culturing system for the honey bee mite Varroa destructor,BBSRC,DTP,2015-07-01,2019-06-30,94126,University of Aberdeen,Inst of Biological and Environmental Sci,"University Office, Regent Walk, Aberdeen, Aberdeenshire, AB24 3FX, Scotland, United Kingdom",AB24 3FX,Scotland,Alan,Stuart,Bowman,BB/M503526/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503526%2F1
Assessing druggability using atomistic simulation,BBSRC,DTP,2014-09-30,2018-09-29,101520,University College London,Chemistry,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Francesco Luigi,,Gervasio,BB/L502388/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502388%2F1
Modelling acetogen metabolism,BBSRC,DTP,2015-01-26,2019-01-25,94126,Oxford Brookes University,Faculty of Health and Life Sciences,"Headington Campus, Gipsy Lane, Oxford, Oxfordshire, OX3 0BP, South East, United Kingdom",OX3 0BP,South East,David,Andrew,Fell,BB/L015684/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL015684%2F1
Training Grant St Andrews Physics,STFC,DTP,2014-10-01,2018-09-30,212601,University of St Andrews,Physics and Astronomy,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Andrew Collier,,Cameron,ST/M503812/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503812%2F1
RNA Metabolism of lentiviral vectors,BBSRC,DTP,2016-10-01,2020-09-30,104696,King's College London,Immunology Infection and Inflam Diseases,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Chad,,Swanson,BB/P504609/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504609%2F1
Computational Modelling of Natural killer Cell Function in Vaccine Efficacy,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of York,Biology,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Mark,Christopher,Coles,BB/N503770/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN503770%2F1
Industrial CASE Account - University of Southampton 2013,EPSRC,DTP,2013-10-01,2018-09-30,617832,University of Southampton,Research and Innovation Services,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Philip,,Jewell,EP/L505651/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505651%2F1
Industrial CASE Account - Durham University 2016,EPSRC,DTP,2016-10-01,2021-09-30,488580,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,EP/P510476/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510476%2F1
Predicting and Controlling Aggregation for mAbs during Bioprocessing,BBSRC,DTP,2013-07-01,2017-06-30,101520,Imperial College London,Department of Chemical Engineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Jerry,Yong Yew,Heng,BB/K020994/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK020994%2F1
Industrial CASE Account - University of Nottingham 2012,EPSRC,DTP,2012-10-01,2017-09-30,404658,University of Nottingham,Research & Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Steven,David,Hardy,EP/K504506/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK504506%2F1
Leicester-2013-DTG Funding 3 Studentships,NERC,DTP,2013-10-01,2017-08-31,218613,University of Leicester,Finance Office,"University Road, Leicester, Leicestershire, LE1 7RH, East Midlands, United Kingdom",LE1 7RH,East Midlands,Ruth,Susan,Daly,NE/L501839/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL501839%2F1
Assessing vitamin status in the older population using salivary markers,BBSRC,DTP,2014-10-01,2018-09-30,102126,King's College London,Clinical and Diagnostic Sciences,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Guy,,Carpenter,BB/M503071/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503071%2F1
Training Grant Sussex,STFC,DTP,2014-10-01,2018-09-30,452680,University of Sussex,Sch of Mathematical & Physical Sciences,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Sebastian,,Jaeger,ST/M503836/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503836%2F1
Development of a rapid and sensitive shape selective screen to assess folding assembly of recombinant proteins,BBSRC,DTP,2016-01-02,2018-10-01,66144,University of Leeds,Inst of Molecular & Cellular Biology,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Alison,Elizabeth,Ashcroft,BB/M503459/2,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503459%2F2
Industrial CASE Account - University of Nottingham 2016,EPSRC,DTP,2016-10-01,2021-09-30,651440,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Richard,,Masterman,EP/P510592/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510592%2F1
NOC-2012-DTG-Funding 6 Studentships,NERC,DTP,2012-09-01,2017-06-30,435776,National Oceanography Centre,Business Support Services,"Waterfront Campus, European Way, Southampton, Hampshire, SO14 3ZH, South East, United Kingdom",SO14 3ZH,South East,PHILIP,,WORRALL,NE/K500938/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK500938%2F1
